"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2131","test_sideoverlap_plates_li1_m1","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","2026-09-22","passed","2026-09-22","","rcx25_CC_sky130A_test","",""
"","1","test_netlist_reduction_1","Unit Tests","2026-09-22","passed","2026-09-22","Test","netlist_reducer_test","",""
"","3","test_e0309_identical_polygons","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DValidatorTest","validator_test","",""
"","36","test_shipped_tech_definitions_have_unique_names","Unit Tests","2026-09-22","passed","2026-09-22","Test","tech_info_test","",""
"","2","test_e0308_an_empty_box","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DValidatorTest","validator_test","",""
"","3","test_e0102_wrong_clause_keyword","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DReaderTest","reader_test","",""
"","3","test_resolve_error_stops_before_a_half_built_scene","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DResolverTest","resolver_test","",""
"","4","test_a_polygon_with_two_separate_holes_is_fine","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DValidatorTest","validator_test","",""
"","2","test_a_profile_without_resistance_carries_none","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DResolverTest","resolver_test","",""
"","0","test_winding_does_not_matter","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DGeometryTest","geometry_test","",""
"","2","test_format_exact","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DWriterTest","writer_test","",""
"","0","test_a_pdk_constraint_is_part_of_that_pdk_s_range","Unit Tests","2026-09-22","passed","2026-09-22","Test","tool_version_constraints_test","",""
"","22","test_a_box_cannot_silently_short_interconnect_between_device_shapes","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DBuilderTerminalTest","pex25d_builder_test","",""
"","2","test_a_terminal_may_take_a_whole_cut","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DResolverTest","resolver_test","",""
"","7","test_every_generated_schema_is_reachable","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DApiTest","api_test","",""
"","17","test_a_file_survives_every_encoding","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DArtifactTest","artifact_test","",""
"","3","test_e0266_a_conductor_declared_twice","Unit Tests","2026-09-22","passed","2026-09-22","Pex25DValidatorTest","validator_test","",""
"","7571","test_single_plate_100um_x_100um_li1_over_substrate","kpex/FasterCap Extraction Tests","2026-09-22","failed","2026-09-22","","fastercap_test","",""
"","2075","test_overlap_plates_100um_x_100um_li1_m1","kpex/2.5D Extraction Tests [PDK sky130A | mode CC]","2026-09-22","passed","2026-09-22","","rcx25_CC_sky130A_test","",""
